"","ACTIONID","Count","predict","group","district","town"
"302","DV00591496",2,1.36536666666667,1,"中正區","網溪里"
"303","DV00591804",2,1.50794473345712,1,"大安區","通化里"
"304","DV00591883",2,1.0346,1,"士林區","義信里"
"305","DV00592241",2,1.24250968801314,1,"大安區","通化里"
"306","DV00592544",2,1.54655805860806,1,"內湖區","瑞光里"
"307","DV00593425",2,1.32293571428571,1,"南港區","東新里"
"308","DV00593783",2,1.35313333333333,1,"士林區","天玉里"
"309","DV00594302",2,1.09944761904762,1,"士林區","社新里"
"310","DV00594821",2,1.19286666666667,1,"士林區","蘭興里"
"311","DV00595695",2,1.25903333333333,1,"萬華區","柳鄉里"
"312","DV00596701",2,1.13113333333333,1,"大安區","正聲里"
"313","DV00596941",2,1.35968628593629,1,"萬華區","忠貞里"
"314","DV00598041",2,1.09013333333333,1,"士林區","福志里"
"315","DV00598773",2,1.15163333333333,1,"信義區","雅祥里"
"316","DV00600161",2,1.21163303167421,1,"大安區","龍安里"
"317","DV00600643",2,1.0548,1,"士林區","蘭雅里"
"318","DV00601103",2,1.2351,1,"士林區","社子里"
"319","DV00601128",2,1.0244,1,"士林區","舊佳里"
"320","DV00601781",2,1.03936666666667,1,"士林區","社子里"
"321","DV00601790",2,1.12234444444444,1,"士林區","社子里"
"322","DV00603624",2,1.20573333333333,1,"萬華區","青山里"
"323","DV00605622",2,1.0191,1,"中山區","康樂里"
"324","DV00606572",2,1.46102063492064,1,"文山區","順興里"
"325","DV00606761",2,1.38223333333333,1,"南港區","舊莊里"
"326","DV00608893",2,1.11526666666667,1,"士林區","社子里"
"327","DV00611822",2,1.28691587301587,1,"士林區","明勝里"
"328","DV00612503",2,1.09541764705882,1,"士林區","天山里"
"329","DV00612622",2,1.17263333333333,1,"內湖區","西康里"
"330","DV00616062",2,1.03224285714286,1,"北投區","永和里"
"331","DV00616606",2,1.21871428571429,1,"松山區","精忠里"
"332","DV00618155",2,1.1443,1,"士林區","蘭雅里"
"333","DV00620662",2,1.28177380952381,1,"士林區","天玉里"
"334","DV00621961",2,1.3871876496053,1,"大同區","重慶里"
"335","DV00622823",2,1.69956464646465,1,"萬華區","新起里"
"336","DV00622941",2,1.62489289044289,1,"內湖區","港富里"
"337","DV00624805",2,1.3169,1,"士林區","後港里"
"338","DV00625623",2,1.3234,1,"萬華區","西門里"
"339","DV00628008",2,1.0371,1,"北投區","關渡里"
"340","DV00628421",2,1.55713333333333,1,"北投區","中央里"
"341","DV00630502",2,1.13823333333333,1,"士林區","仁勇里"
"342","DV00632802",2,1.4564,1,"內湖區","石潭里"
"343","DV00633203",2,1.4564,1,"內湖區","石潭里"
"344","DV00633864",2,1.13806666666667,1,"士林區","天母里"
"345","DV00634005",2,1.50716666666667,1,"中正區","廈安里"
"346","DV00634595",2,1.08445,1,"大安區","龍生里"
"347","DV00635262",2,1.24157777777778,1,"松山區","新東里"
"348","DV00636264",2,1.07816666666667,1,"士林區","忠誠里"
"349","DV00637008",2,1.38473333333333,1,"信義區","五全里"
"350","DV00637063",2,1.16466666666667,1,"士林區","舊佳里"
"351","DV00641962",2,1.2184,1,"中正區","龍興里"
"352","DV00643242",2,1.34267857142857,1,"南港區","東新里"
"353","DV00645862",2,1.47986872930991,1,"北投區","榮華里"
"354","DV00646165",2,1.07703333333333,1,"士林區","社新里"
"355","DV00648977",2,1.12346666666667,1,"內湖區","瑞陽里"
"356","DV00649581",2,1.2994,1,"士林區","社子里"
"357","DV00650463",2,1.40857146292648,1,"萬華區","和德里"
"358","DV00650532",2,1.14456581196581,1,"內湖區","石潭里"
"359","DV00651101",2,1.14307619047619,1,"萬華區","孝德里"
"360","DV00651536",2,1.46236666666667,1,"萬華區","西門里"
"361","DV00651768",2,1.49676941391941,1,"大安區","龍圖里"
"362","DV00651771",2,1.41638772893773,1,"大安區","龍圖里"
"363","DV00652101",2,1.31254285714286,1,"中山區","朱園里"
"364","DV00652354",2,1.2446724288869,1,"北投區","吉慶里"
"365","DV00652585",2,1.0725304029304,1,"北投區","智仁里"
"366","DV00652904",2,1.01733333333333,1,"中山區","下埤里"
