"","town","avg_predict"
"384","永功里",1.25727877474471
"385","永和里",1.20848137277803
"386","永吉里",1.26144017677094
"387","永康里",1.11049166666667
"388","永樂里",1.26729190148476
"389","永倫里",1.30243712361615
"390","永明里",1.40903650772695
"391","永欣里",1.24593897768795
"392","玉成里",1.5339249068826
"393","玉泉里",1.25103132974342
"394","裕民里",1.29072282049944
"395","圓山里",1.42121387470554
"396","樟腳里",1.18280017253278
"397","樟林里",1.29201093045914
"398","樟樹里",1.27829635318014
"399","樟文里",1.39329536877707
"400","樟新里",1.28314815327989
"401","長安里",1.43898974508806
"402","長春里",1.14865879327156
"403","振華里",1.19527459147606
"404","正得里",1.2281140670687
"405","正和里",1.43704616948979
"406","正聲里",1.21556838827839
"407","正守里",1.26874291464164
"408","正義里",1.11945906204906
"409","政大里",1.22723890029026
"410","芝山里",1.40392230923438
"411","指南里",1.38162398589065
"412","至聖里",1.35272320030413
"413","智仁里",1.27981192630088
"414","中和里",1.34622184169567
"415","中華里",1.29328007409257
"416","中吉里",1.25947433718545
"417","中崙里",1.29958221359251
"418","中南里",1.37137594350094
"419","中坡里",1.29188186062754
"420","中山里",1.21484432808851
"421","中心里",1.19995389118823
"422","中行里",1.21547441213815
"423","中興里",1.32620724709876
"424","中研里",1.32083131239324
"425","中央里",1.26175224638465
"426","中庸里",1.19988273609107
"427","中原里",1.26280242867348
"428","中正里",1.2552473615103
"429","中庄里",1.14740018552876
"430","忠誠里",1.17926363822095
"431","忠德里",1.30539983315296
"432","忠勤里",1.30335617624977
"433","忠順里",1.32422596090778
"434","忠貞里",1.36076826711832
"435","重慶里",1.29010396890033
"436","重陽里",1.28180553386279
"437","洲美里",1.20207777777778
"438","週美里",1.23439680563173
"439","朱馥里",1.23114177618161
"440","朱崙里",1.4213433033522
"441","朱園里",1.41826995794334
"442","住安里",1.30551542265978
"443","莊敬里",1.43757817700099
"444","紫星里",1.23470808533376
"445","紫陽里",1.3217747991571
"446","紫雲里",1.22442681881833
"447","自強里",1.25557440565927
"448","尊賢里",1.27289573281122
"449",NA,1.27669430826526
